Driver type,Sex [note 1],"Age group [notes 2, 3]",Severity adjustment [note 4],2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Pedal cyclists,Male,40-49,FSC (adjusted),862,899,"1,026",934,810,776,750,723,694,604
Pedal cyclists,Male,50-59,FSC (adjusted),508,539,663,677,664,652,652,647,718,730
Pedal cyclists,Male,60-69,FSC (adjusted),238,232,290,249,274,285,320,298,385,334
Pedal cyclists,Male,70 and over,FSC (adjusted),132,137,134,144,136,171,173,168,232,217
Pedal cyclists,Male,All ages,FSC (adjusted),"4,182","4,176","4,570","4,180","4,017","3,973","3,943","3,764","3,843","3,844"
Motorcycle riders,Male,Under 16,FSC (adjusted),15,21,23,28,29,36,49,39,37,54
Motorcycle riders,Male,16,FSC (adjusted),266,195,183,175,153,170,124,117,99,88
Motorcycle riders,Male,17-20,FSC (adjusted),"1,204","1,172","1,127","1,093",978,907,823,805,597,867
Motorcycle riders,Male,21-24,FSC (adjusted),828,901,988,988,980,885,760,677,512,582
Motorcycle riders,Male,25-29,FSC (adjusted),725,746,923,942,950,952,902,888,650,650
Motorcycle riders,Male,30-39,FSC (adjusted),"1,182","1,067","1,247","1,149","1,186","1,152","1,215","1,115",983,"1,053"
Motorcycle riders,Male,40-49,FSC (adjusted),"1,364","1,301","1,278","1,170","1,097",907,922,806,604,654
Motorcycle riders,Male,50-59,FSC (adjusted),927,942,"1,072","1,023","1,045",974,"1,036",989,740,911
Motorcycle riders,Male,60-69,FSC (adjusted),351,360,379,379,384,390,429,448,356,445
Motorcycle riders,Male,70 and over,FSC (adjusted),91,75,110,131,103,122,139,138,141,150
Motorcycle riders,Male,All ages,FSC (adjusted),"7,063","6,889","7,434","7,187","7,008","6,546","6,464","6,077","4,758","5,507"
Car drivers,Male,Under 16,FSC (adjusted),4,4,5,7,5,5,10,5,10,11
Car drivers,Male,16,FSC (adjusted),12,9,10,15,6,18,18,10,16,8
Car drivers,Male,17-20,FSC (adjusted),"1,788","1,553","1,613","1,647","1,476","1,473","1,467","1,444","1,161","1,210"
Car drivers,Male,21-24,FSC (adjusted),"2,146","2,030","2,109","2,056","1,907","1,826","1,707","1,574","1,340","1,465"
Car drivers,Male,25-29,FSC (adjusted),"2,391","2,263","2,397","2,388","2,342","2,214","2,221","2,098","1,691","1,863"
Car drivers,Male,30-39,FSC (adjusted),"4,062","3,691","3,921","3,826","3,971","3,818","3,856","3,888","2,929","3,311"
Car drivers,Male,40-49,FSC (adjusted),"3,982","3,719","3,819","3,569","3,294","3,109","3,220","3,006","2,286","2,550"
Car drivers,Male,50-59,FSC (adjusted),"3,030","2,900","3,042","2,954","2,812","2,752","2,842","2,657","2,024","2,291"
Car drivers,Male,60-69,FSC (adjusted),"2,006","1,998","2,165","1,997","1,863","1,749","1,853","1,772","1,292","1,462"
Car drivers,Male,70 and over,FSC (adjusted),"1,898","1,945","2,069","2,013","1,991","1,972","2,184","2,010","1,360","1,652"
Car drivers,Male,All ages,FSC (adjusted),"22,317","21,035","22,116","21,441","20,563","19,565","20,054","19,083","14,582","16,319"
Bus or coach drivers,Male,Under 16,FSC (adjusted),0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,Male,16,FSC (adjusted),0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,Male,17-20,FSC (adjusted),6,4,3,3,4,5,6,6,2,2
Bus or coach drivers,Male,21-24,FSC (adjusted),25,21,18,25,25,18,25,16,12,13
Bus or coach drivers,Male,25-29,FSC (adjusted),68,60,49,49,53,52,53,44,17,22
Bus or coach drivers,Male,30-39,FSC (adjusted),201,174,163,144,148,143,141,116,68,86
Bus or coach drivers,Male,40-49,FSC (adjusted),307,285,262,224,162,199,182,174,93,95
Bus or coach drivers,Male,50-59,FSC (adjusted),270,261,301,271,255,237,229,242,124,159
Bus or coach drivers,Male,60-69,FSC (adjusted),147,127,132,115,108,101,110,93,61,83
Bus or coach drivers,Male,70 and over,FSC (adjusted),9,8,14,12,10,11,13,15,9,12
Bus or coach drivers,Male,All ages,FSC (adjusted),"1,087",982,985,888,804,787,788,721,401,480
Light goods vehicle drivers,Male,Under 16,FSC (adjusted),0,0,0,1,0,0,0,0,0,1
Light goods vehicle drivers,Male,16,FSC (adjusted),1,0,0,0,0,2,0,0,1,0
Light goods vehicle drivers,Male,17-20,FSC (adjusted),57,59,46,58,47,39,44,58,40,42
Light goods vehicle drivers,Male,21-24,FSC (adjusted),182,165,155,158,163,139,147,130,126,161
Light goods vehicle drivers,Male,25-29,FSC (adjusted),268,247,308,358,290,293,299,291,230,258
Light goods vehicle drivers,Male,30-39,FSC (adjusted),494,479,545,518,552,558,611,619,533,634
Light goods vehicle drivers,Male,40-49,FSC (adjusted),529,525,581,533,530,469,494,516,377,488
Light goods vehicle drivers,Male,50-59,FSC (adjusted),356,389,413,418,394,419,457,464,361,480
Light goods vehicle drivers,Male,60-69,FSC (adjusted),171,174,173,155,169,171,163,193,191,191
Light goods vehicle drivers,Male,70 and over,FSC (adjusted),22,38,24,42,35,56,48,58,34,62
Light goods vehicle drivers,Male,All ages,FSC (adjusted),"2,225","2,194","2,378","2,381","2,279","2,217","2,338","2,402","1,967","2,389"
Heavy goods vehicle drivers,Male,Under 16,FSC (adjusted),0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Male,16,FSC (adjusted),0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Male,17-20,FSC (adjusted),8,12,6,9,11,4,11,3,5,7
Heavy goods vehicle drivers,Male,21-24,FSC (adjusted),33,34,42,45,34,35,27,29,18,24
Heavy goods vehicle drivers,Male,25-29,FSC (adjusted),87,87,98,101,96,115,98,78,63,56
Heavy goods vehicle drivers,Male,30-39,FSC (adjusted),288,273,277,269,236,255,252,229,185,199
Heavy goods vehicle drivers,Male,40-49,FSC (adjusted),513,459,459,455,352,337,309,289,215,222
Heavy goods vehicle drivers,Male,50-59,FSC (adjusted),396,432,392,422,405,355,364,327,297,325
Heavy goods vehicle drivers,Male,60-69,FSC (adjusted),164,151,200,174,159,135,155,135,119,134
Heavy goods vehicle drivers,Male,70 and over,FSC (adjusted),14,16,13,13,13,16,14,20,9,9
Heavy goods vehicle drivers,Male,All ages,FSC (adjusted),"1,544","1,506","1,523","1,527","1,350","1,277","1,261","1,136",931,997
Other or unknown vehicle drivers,Male,Under 16,FSC (adjusted),13,5,13,9,8,11,10,11,21,62
Other or unknown vehicle drivers,Male,16,FSC (adjusted),5,3,5,3,3,6,2,4,10,10
Other or unknown vehicle drivers,Male,17-20,FSC (adjusted),33,32,31,30,22,27,24,22,45,82
Other or unknown vehicle drivers,Male,21-24,FSC (adjusted),37,31,35,34,43,52,43,43,52,69
Other or unknown vehicle drivers,Male,25-29,FSC (adjusted),51,48,52,54,51,62,77,52,61,95
Other or unknown vehicle drivers,Male,30-39,FSC (adjusted),102,83,85,85,111,137,116,99,124,186
Other or unknown vehicle drivers,Male,40-49,FSC (adjusted),123,97,80,86,120,135,110,92,81,99
Other or unknown vehicle drivers,Male,50-59,FSC (adjusted),84,72,103,94,127,97,116,114,88,109
Other or unknown vehicle drivers,Male,60-69,FSC (adjusted),63,56,42,56,56,67,68,61,48,57
Other or unknown vehicle drivers,Male,70 and over,FSC (adjusted),49,50,61,63,59,49,71,47,44,45
Other or unknown vehicle drivers,Male,All ages,FSC (adjusted),584,496,534,546,630,680,668,575,601,855
All drivers and riders,Male,Under 16,FSC (adjusted),451,406,427,415,416,478,468,477,429,471
All drivers and riders,Male,16,FSC (adjusted),353,277,277,259,225,262,211,191,187,168
All drivers and riders,Male,17-20,FSC (adjusted),"3,390","3,087","3,086","3,066","2,767","2,668","2,593","2,537","2,055","2,462"
All drivers and riders,Male,21-24,FSC (adjusted),"3,576","3,492","3,667","3,580","3,417","3,211","2,932","2,697","2,270","2,544"
All drivers and riders,Male,25-29,FSC (adjusted),"3,988","3,862","4,289","4,262","4,155","4,046","3,984","3,757","3,030","3,289"
All drivers and riders,Male,30-39,FSC (adjusted),"7,171","6,607","7,104","6,777","6,955","6,775","6,934","6,720","5,427","6,132"
All drivers and riders,Male,40-49,FSC (adjusted),"7,680","7,284","7,505","6,971","6,366","5,930","5,986","5,606","4,350","4,711"
All drivers and riders,Male,50-59,FSC (adjusted),"5,571","5,536","5,986","5,859","5,702","5,485","5,696","5,440","4,352","5,006"
All drivers and riders,Male,60-69,FSC (adjusted),"3,139","3,099","3,381","3,125","3,012","2,898","3,098","3,000","2,451","2,706"
All drivers and riders,Male,70 and over,FSC (adjusted),"2,215","2,269","2,425","2,416","2,347","2,396","2,643","2,455","1,828","2,146"
All drivers and riders,Male,All ages,FSC (adjusted),"39,002","37,278","39,540","38,150","36,651","35,045","35,517","33,758","27,083","30,391"
Pedal cyclists,All,Under 16,FSC (adjusted),490,439,445,427,424,486,437,474,403,402
Pedal cyclists,All,16,FSC (adjusted),75,79,92,74,69,73,72,65,69,69
Pedal cyclists,All,17-20,FSC (adjusted),340,299,301,265,257,248,254,237,239,277
Pedal cyclists,All,21-24,FSC (adjusted),383,378,403,343,329,313,279,274,266,287
Pedal cyclists,All,25-29,FSC (adjusted),529,534,575,479,467,449,446,405,427,452
Pedal cyclists,All,30-39,FSC (adjusted),"1,020","1,020","1,069",945,909,886,899,825,749,814
Pedal cyclists,All,40-49,FSC (adjusted),"1,019","1,057","1,209","1,104",965,927,899,873,841,750
Pedal cyclists,All,50-59,FSC (adjusted),629,664,805,810,812,807,829,803,887,903
Pedal cyclists,All,60-69,FSC (adjusted),280,273,349,298,324,346,374,366,473,422
Pedal cyclists,All,70 and over,FSC (adjusted),153,157,157,177,153,192,203,194,269,252
Pedal cyclists,All,All ages,FSC (adjusted),"5,052","5,053","5,540","5,056","4,836","4,835","4,812","4,632","4,728","4,757"
Motorcycle riders,All,Under 16,FSC (adjusted),15,23,24,28,30,38,50,40,39,55
Motorcycle riders,All,16,FSC (adjusted),286,212,199,192,173,179,133,125,102,90
Motorcycle riders,All,17-20,FSC (adjusted),"1,265","1,243","1,196","1,156","1,045",971,869,856,619,911
Motorcycle riders,All,21-24,FSC (adjusted),879,958,"1,047","1,048","1,047",943,809,708,544,618
Motorcycle riders,All,25-29,FSC (adjusted),777,793,985,989,996,993,951,937,692,693
Motorcycle riders,All,30-39,FSC (adjusted),"1,282","1,153","1,333","1,225","1,254","1,231","1,288","1,189","1,047","1,125"
Motorcycle riders,All,40-49,FSC (adjusted),"1,471","1,414","1,367","1,250","1,168",981,991,864,649,723
Motorcycle riders,All,50-59,FSC (adjusted),975,984,"1,153","1,088","1,102","1,037","1,104","1,068",792,972
Motorcycle riders,All,60-69,FSC (adjusted),369,373,386,389,398,406,443,455,371,465
Motorcycle riders,All,70 and over,FSC (adjusted),95,78,112,134,108,126,143,143,142,152
Motorcycle riders,All,All ages,FSC (adjusted),"7,597","7,396","7,984","7,703","7,504","7,076","6,958","6,560","5,136","5,971"
Car drivers,All,Under 16,FSC (adjusted),6,4,5,7,7,6,10,7,12,12
Car drivers,All,16,FSC (adjusted),12,10,11,16,9,24,26,15,19,11
Car drivers,All,17-20,FSC (adjusted),"2,721","2,415","2,395","2,343","2,179","2,162","2,172","2,098","1,665","1,719"
Car drivers,All,21-24,FSC (adjusted),"3,284","3,071","3,168","3,056","2,870","2,715","2,552","2,418","1,978","2,276"
Car drivers,All,25-29,FSC (adjusted),"3,606","3,459","3,640","3,628","3,511","3,359","3,392","3,239","2,518","2,752"
Car drivers,All,30-39,FSC (adjusted),"6,357","5,792","6,209","5,933","6,086","5,825","6,048","6,059","4,420","5,258"
Car drivers,All,40-49,FSC (adjusted),"6,289","5,790","6,022","5,653","5,187","4,885","4,980","4,702","3,509","4,012"
Car drivers,All,50-59,FSC (adjusted),"4,641","4,380","4,752","4,589","4,402","4,266","4,475","4,225","3,151","3,598"
Car drivers,All,60-69,FSC (adjusted),"2,987","2,921","3,183","2,916","2,829","2,613","2,826","2,719","1,944","2,200"
Car drivers,All,70 and over,FSC (adjusted),"2,701","2,805","3,050","2,897","2,934","2,961","3,227","3,066","1,968","2,410"
Car drivers,All,All ages,FSC (adjusted),"36,182","34,113","35,997","34,659","33,436","32,209","33,332","32,063","23,954","27,495"
Bus or coach drivers,All,Under 16,FSC (adjusted),0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,All,16,FSC (adjusted),0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,All,17-20,FSC (adjusted),6,4,5,3,5,5,6,7,3,3
Bus or coach drivers,All,21-24,FSC (adjusted),28,24,20,26,26,20,28,19,13,17
Bus or coach drivers,All,25-29,FSC (adjusted),77,62,53,56,54,58,60,48,19,28
Bus or coach drivers,All,30-39,FSC (adjusted),217,188,175,158,159,156,152,127,79,100
Bus or coach drivers,All,40-49,FSC (adjusted),336,309,288,247,175,228,203,203,104,102
Bus or coach drivers,All,50-59,FSC (adjusted),289,272,320,297,269,251,249,260,135,177
Bus or coach drivers,All,60-69,FSC (adjusted),151,130,138,122,110,106,116,102,63,86
Bus or coach drivers,All,70 and over,FSC (adjusted),9,8,14,12,12,11,15,16,9,12
Bus or coach drivers,All,All ages,FSC (adjusted),"1,245","1,117","1,136","1,025",897,906,903,836,477,585
Light goods vehicle drivers,All,Under 16,FSC (adjusted),0,0,1,1,0,0,0,0,0,1
Light goods vehicle drivers,All,16,FSC (adjusted),1,0,0,0,0,2,1,0,1,0
Light goods vehicle drivers,All,17-20,FSC (adjusted),60,60,48,62,49,42,46,62,47,45
Light goods vehicle drivers,All,21-24,FSC (adjusted),188,172,166,169,165,145,152,135,135,169
Light goods vehicle drivers,All,25-29,FSC (adjusted),280,260,317,369,302,303,313,305,243,278
Light goods vehicle drivers,All,30-39,FSC (adjusted),520,501,581,546,578,588,641,657,565,683
Light goods vehicle drivers,All,40-49,FSC (adjusted),563,553,614,572,561,495,516,546,405,524
Light goods vehicle drivers,All,50-59,FSC (adjusted),368,405,436,435,422,437,477,502,390,520
Light goods vehicle drivers,All,60-69,FSC (adjusted),176,180,184,163,175,175,174,202,200,203
Light goods vehicle drivers,All,70 and over,FSC (adjusted),22,40,26,44,39,57,55,60,35,73
Light goods vehicle drivers,All,All ages,FSC (adjusted),"2,527","2,476","2,750","2,705","2,598","2,547","2,677","2,786","2,293","2,835"
Heavy goods vehicle drivers,All,Under 16,FSC (adjusted),0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,All,16,FSC (adjusted),0,0,0,0,0,0,1,0,0,0
Heavy goods vehicle drivers,All,17-20,FSC (adjusted),8,13,6,9,11,5,11,3,6,8
Heavy goods vehicle drivers,All,21-24,FSC (adjusted),35,36,43,47,34,36,27,31,18,25
Heavy goods vehicle drivers,All,25-29,FSC (adjusted),89,88,101,102,98,116,101,80,66,59
Heavy goods vehicle drivers,All,30-39,FSC (adjusted),295,283,288,275,246,261,261,237,191,206
Heavy goods vehicle drivers,All,40-49,FSC (adjusted),522,473,471,461,364,346,320,298,217,226
Heavy goods vehicle drivers,All,50-59,FSC (adjusted),402,437,397,429,411,367,374,334,303,332
Heavy goods vehicle drivers,All,60-69,FSC (adjusted),165,151,200,176,162,136,157,136,119,136
Heavy goods vehicle drivers,All,70 and over,FSC (adjusted),14,16,13,13,13,16,15,20,9,9
Heavy goods vehicle drivers,All,All ages,FSC (adjusted),"1,670","1,628","1,628","1,627","1,439","1,375","1,361","1,221",992,"1,063"
Other or unknown vehicle drivers,All,Under 16,FSC (adjusted),17,7,15,11,14,16,14,16,28,78
Other or unknown vehicle drivers,All,16,FSC (adjusted),6,4,6,3,3,7,2,7,12,13
Other or unknown vehicle drivers,All,17-20,FSC (adjusted),37,40,38,32,28,30,29,26,53,100
Other or unknown vehicle drivers,All,21-24,FSC (adjusted),41,36,38,40,48,59,49,52,62,84
Other or unknown vehicle drivers,All,25-29,FSC (adjusted),56,53,57,57,59,70,85,59,73,116
Other or unknown vehicle drivers,All,30-39,FSC (adjusted),125,104,100,101,129,163,140,119,151,233
Other or unknown vehicle drivers,All,40-49,FSC (adjusted),144,115,104,104,141,158,134,115,99,114
Other or unknown vehicle drivers,All,50-59,FSC (adjusted),93,86,124,104,140,112,142,130,109,128
Other or unknown vehicle drivers,All,60-69,FSC (adjusted),79,70,53,62,67,78,84,77,54,63
Other or unknown vehicle drivers,All,70 and over,FSC (adjusted),77,74,85,93,82,71,96,65,50,62
Other or unknown vehicle drivers,All,All ages,FSC (adjusted),794,698,737,733,900,973,990,860,844,"1,197"
All drivers and riders,All,Under 16,FSC (adjusted),529,473,490,475,474,547,512,536,482,548
All drivers and riders,All,16,FSC (adjusted),380,305,309,285,255,286,236,212,204,184
All drivers and riders,All,17-20,FSC (adjusted),"4,436","4,074","3,989","3,870","3,573","3,464","3,387","3,290","2,633","3,063"
All drivers and riders,All,21-24,FSC (adjusted),"4,838","4,675","4,886","4,729","4,519","4,231","3,897","3,637","3,015","3,476"
All drivers and riders,All,25-29,FSC (adjusted),"5,415","5,250","5,728","5,679","5,487","5,347","5,349","5,072","4,037","4,378"
All drivers and riders,All,30-39,FSC (adjusted),"9,816","9,040","9,755","9,184","9,361","9,109","9,430","9,212","7,203","8,419"
All drivers and riders,All,40-49,FSC (adjusted),"10,344","9,712","10,075","9,393","8,560","8,020","8,043","7,601","5,824","6,451"
All drivers and riders,All,50-59,FSC (adjusted),"7,396","7,228","7,987","7,752","7,559","7,276","7,651","7,322","5,766","6,630"
All drivers and riders,All,60-69,FSC (adjusted),"4,207","4,096","4,493","4,126","4,065","3,860","4,174","4,057","3,224","3,574"
All drivers and riders,All,70 and over,FSC (adjusted),"3,072","3,178","3,457","3,370","3,341","3,433","3,753","3,564","2,483","2,971"
All drivers and riders,All,All ages,FSC (adjusted),"55,066","52,482","55,770","53,507","51,610","49,922","51,033","48,958","38,423","43,902"
